Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
G.Kirby o4.5 Ks,LinesAtLunch,Seattle Mariners,G.Kirby,Houston Astros,0.0,0.59375,1,0.2,0,0.4,0,-128,1.28,2.28,1.0000000000000002
J.Cannon o4.5 strikeouts,Rotowire Prizepicks,Chicago White Sox,J.Cannon,Los Angeles Angels,1.0,0.3,0,0.4,0,0.3,0,100,1.5,3.0,1.5
F.Peralta u2.5 BB,SBK5065,Milwaukee Brewers,F.Peralta,Pittsburgh Pirates,0.0,0.7741935483870968,1,0.6,1,0.8,1,-185,1.25,1.925675675675676,0.6756756756756757
M.Muncy o0.5 hits+runs+rbi,Rotowire,Los Angeles Dodgers,M.Muncy,San Diego Padres,1.0,0.6716417910447762,1,0.8,1,0.7,1,100,0.75,1.5,0.75
M.Rojas o0.5 hits+runs+rbi,Rotowire,Los Angeles Dodgers,M.Rojas,San Diego Padres,1.0,0.6326530612244898,1,0.4,0,0.7,1,100,0.75,1.5,0.75
M.Olson o1.5 hits+runs+rbi,Rotowire Prizepicks,Atlanta Braves,M.Olson,New York Mets,1.0,0.4968152866242038,0,0.6,1,0.7,1,100,1.5,3.0,1.5
J.Flaherty o5.5 strikeouts,Rotowire Prizepicks,Los Angeles Dodgers,J.Flaherty,San Diego Padres,1.0,0.5555555555555556,1,0.4,0,0.5555555555555556,1,100,1.5,3.0,1.5
O.Albies o1.5 hits+runs+rbi,Rotowire,Atlanta Braves,O.Albies,New York Mets,1.0,0.5425531914893617,1,0.8,1,0.6,1,100,0.75,1.5,0.75
J.Cantillo u15.5 Outs,SBK5065,Cleveland Guardians,J.Cantillo,Cincinnati Reds,1.0,0.7142857142857143,1,0.6,1,0.7142857142857143,1,-166,1.5,2.403614457831325,0.903614457831325
Z.Eflin u1.5 BB,SBK5065,Baltimore Orioles,Z.Eflin,New York Yankees,0.0,1.0,1,1.0,1,1.0,1,-115,1.0,1.869565217391304,0.8695652173913042
J.Junis u1.5 BB,SBK5065,Cincinnati Reds,J.Junis,Cleveland Guardians,0.0,1.0,1,1.0,1,1.0,1,-244,2.0,2.819672131147541,0.819672131147541
G.Kirby u0.5 BB,SBK5065,Seattle Mariners,G.Kirby,Houston Astros,0.0,0.4375,0,0.6,1,0.3,0,170,1.0,2.7,1.7000000000000002
F.Tatis o1.5 Hits + Runs + RBIs,MJCLocks,San Diego Padres,F.Tatis,Los Angeles Dodgers,0.0,0.6105263157894737,1,0.8,1,0.8,1,-110,1.1,2.1,1.0
C.Cowser o0.5 hits+runs+rbi,Rotowire,Baltimore Orioles,C.Cowser,New York Yankees,0.0,0.6344827586206897,1,0.8,1,0.7,1,100,0.75,1.5,0.75
Y.Kikuchi u2.5 BB,SBK5065,Houston Astros,Y.Kikuchi,Seattle Mariners,1.0,0.6666666666666666,1,0.8,1,0.6666666666666666,1,-185,1.25,1.925675675675676,0.6756756756756757
M.Harris o1.5 hits+runs+rbi,Rotowire Prizepicks,Atlanta Braves,M.Harris,New York Mets,1.0,0.4857142857142857,0,1.0,1,0.8,1,100,1.5,3.0,1.5
F.Peralta o5.5 Ks,charliedisturco,Milwaukee Brewers,F.Peralta,Pittsburgh Pirates,0.0,0.6451612903225806,1,0.4,0,0.4,0,-120,1.2,2.2,1.0000000000000002
