,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
3,L.Thomas o0.5 Runs Scored,Thespinzone,143,0.11,0.2673,0.1573,L.Thomas,Washington Nationals,San Francisco Giants,1.0,,,,,,
5,C.Abrams o0.5 Runs Scored,Thespinzone,133,0.1,0.233,0.133,C.Abrams,Washington Nationals,San Francisco Giants,1.0,,,,,,
10,C.Bellinger o0.5 Runs Scored,Thespinzone,115,0.11,0.2365,0.1265,C.Bellinger,Chicago Cubs,St. Louis Cardinals,1.0,,,,,,
17,M.McLain o0.5 Runs Scored,Thespinzone,105,0.12,0.2459999999999999,0.1259999999999999,M.McLain,Cincinnati Reds,Arizona Diamondbacks,1.0,,,,,,
24,G.Torres o0.5 Runs Scored,Thespinzone,100,0.15,0.3,0.15,G.Torres,New York Yankees,Kansas City Royals,1.0,,,,,,
2,L.Thomas o0.5 Runs Scored,Thespinzone,143,0.11,0.2673,0.1573,L.Thomas,Washington Nationals,San Francisco Giants,1.0,0.5531914893617021,1.0,0.6,1.0,0.5,0.0
3,C.Abrams o0.5 Runs Scored,Thespinzone,133,0.1,0.233,0.133,C.Abrams,Washington Nationals,San Francisco Giants,1.0,0.4022988505747126,0.0,0.6,1.0,0.6,1.0
6,C.Bellinger o0.5 Runs Scored,Thespinzone,115,0.11,0.2365,0.1265,C.Bellinger,Chicago Cubs,St. Louis Cardinals,1.0,0.6060606060606061,1.0,0.6,1.0,0.6,1.0
7,M.Tauchman o0.5 Runs Scored,Thespinzone,100,0.15,0.3,0.15,M.Tauchman,Chicago Cubs,St. Louis Cardinals,1.0,0.5102040816326531,1.0,0.6,1.0,0.6,1.0
8,P.Goldschmidt o0.5 Runs Scored,Thespinzone,-110,0.15,0.2863636363636364,0.1363636363636363,P.Goldschmidt,St. Louis Cardinals,Chicago Cubs,0.0,0.4787234042553192,0.0,0.8,1.0,0.6,1.0
10,M.McLain o0.5 Runs Scored,Thespinzone,105,0.12,0.2459999999999999,0.1259999999999999,M.McLain,Cincinnati Reds,Arizona Diamondbacks,1.0,0.5263157894736842,1.0,0.8,1.0,0.5,0.0
