Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
Z.Matthews u1.5 BB,SBK5065,Minnesota Twins,Z.Matthews,Cleveland Guardians,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-150,1.5,2.5,1.0
B.Miller u17.5 Outs,PropBetGuy,Seattle Mariners,B.Miller,New York Yankees,1.0,0.3571428571428571,0,0.4,0,0.3,0,-132,1.32,2.3200000000000003,1.0000000000000002
Z.Wheeler u18.5 Outs,cowhitchurch,Philadelphia Phillies,Z.Wheeler,Milwaukee Brewers,0.0,0.5862068965517241,1,0.8,1,0.7,1,-190,0.75,1.144736842105263,0.394736842105263
Z.Wheeler u18.5 Outs,SBK5065,Philadelphia Phillies,Z.Wheeler,Milwaukee Brewers,0.0,0.5862068965517241,1,0.8,1,0.7,1,-189,1.0,1.529100529100529,0.5291005291005291
J.Ramirez o1.5 Total Bases,sandyplashkes,Cleveland Guardians,J.Ramirez,Minnesota Twins,1.0,0.4693877551020408,0,0.6,1,0.4,0,106,1.0,2.06,1.06
J.Ramirez o1.5 Total Bases,LinesAtLunch,Cleveland Guardians,J.Ramirez,Minnesota Twins,1.0,0.4693877551020408,0,0.6,1,0.4,0,106,0.94,1.9364,0.9964
L.Raley o0.5 total bases,Rotowire Prizepicks,Seattle Mariners,L.Raley,New York Yankees,1.0,0.5163934426229508,1,0.8,1,0.8,1,100,1.5,3.0,1.5
J.Young o0.5 hits+runs+rbi,Rotowire,Washington Nationals,J.Young,New York Mets,0.0,0.6666666666666666,1,1.0,1,0.7,1,100,0.75,1.5,0.75
L.Raley o0.5 hits+runs+rbi,Rotowire,Seattle Mariners,L.Raley,New York Yankees,1.0,0.5737704918032787,1,0.8,1,0.8,1,100,0.75,1.5,0.75
T.Megill u16.5 Outs,SBK5065,New York Mets,T.Megill,Washington Nationals,1.0,0.75,1,0.6,1,0.7,1,-117,1.0,1.8547008547008548,0.8547008547008548
A.Vaughn o1.5 Hits + Runs + RBIs,MJCLocks,Chicago White Sox,A.Vaughn,Los Angeles Angels,0.0,0.5036496350364964,1,0.8,1,0.8,1,-115,1.15,2.1499999999999995,0.9999999999999996
B.Woo u5.5 Ks,PropBetGuy,Seattle Mariners,B.Woo,New York Yankees,1.0,0.631578947368421,1,0.6,1,0.5,0,-104,1.04,2.04,1.0
B.Rooker o1.5 Total Bases,theprophunter0_,Oakland Athletics,B.Rooker,Chicago Cubs,0.0,0.5,0,0.8,1,0.6,1,110,1.0,2.1,1.1
T.Megill u16.5 Outs,cowhitchurch,New York Mets,T.Megill,Washington Nationals,1.0,0.75,1,0.6,1,0.7,1,-124,0.5,0.9032258064516128,0.4032258064516129
C.Leblanc o0.5 hits+runs+rbi,Rotowire,Los Angeles Angels,C.Leblanc,Chicago White Sox,1.0,0.625,1,0.8,1,0.625,1,100,0.75,1.5,0.75
A.Judge o1.5 Hits + Runs + RBIs,FirefighterBets,New York Yankees,A.Judge,Seattle Mariners,0.0,0.5608108108108109,1,0.4,0,0.4,0,-120,1.0,1.8333333333333333,0.8333333333333335
A.Vaughn o1.5 Hits + Runs + RBIs,FirefighterBets,Chicago White Sox,A.Vaughn,Los Angeles Angels,0.0,0.5036496350364964,1,0.8,1,0.8,1,-115,1.0,1.869565217391304,0.8695652173913042
