Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
M.Parker u4.5 Ks,rsura_,Washington Nationals,M.Parker,New York Mets,0.0,0.3703703703703703,0,0.0,0,0.2,0,-102,1.02,2.02,1.0
M.Parker u4.5 Ks,LinesAtLunch,Washington Nationals,M.Parker,New York Mets,0.0,0.3703703703703703,0,0.0,0,0.2,0,-102,1.02,2.02,1.0
N.Pivetta o6.5 Ks,rsura_,Boston Red Sox,N.Pivetta,Tampa Bay Rays,0.0,0.4347826086956521,0,0.2,0,0.4,0,100,1.0,2.0,1.0
N.Pivetta o6.5 Ks,LinesAtLunch,Boston Red Sox,N.Pivetta,Tampa Bay Rays,0.0,0.4347826086956521,0,0.2,0,0.4,0,-118,1.18,2.18,0.9999999999999998
Z.Matthews u1.5 BB,SBK5065,Minnesota Twins,Z.Matthews,Cleveland Guardians,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-150,1.5,2.5,1.0
Z.Matthews u1.5 BB,cowhitchurch,Minnesota Twins,Z.Matthews,Cleveland Guardians,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-155,0.78,1.2832258064516129,0.5032258064516129
J.Ramirez o1.5 Total Bases,sandyplashkes,Cleveland Guardians,J.Ramirez,Minnesota Twins,1.0,0.4693877551020408,0,0.6,1,0.4,0,106,1.0,2.06,1.06
J.Ramirez o1.5 Total Bases,LinesAtLunch,Cleveland Guardians,J.Ramirez,Minnesota Twins,1.0,0.4693877551020408,0,0.6,1,0.4,0,106,0.94,1.9364,0.9964
L.Raley o0.5 total bases,Rotowire Prizepicks,Seattle Mariners,L.Raley,New York Yankees,1.0,0.5163934426229508,1,0.8,1,0.8,1,100,1.5,3.0,1.5
Z.Matthews o4.5 Hits Allowed,LinesAtLunch,Minnesota Twins,Z.Matthews,Cleveland Guardians,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-145,1.45,2.45,1.0000000000000002
Z.Matthews o4.5 Hits Allowed,rsura_,Minnesota Twins,Z.Matthews,Cleveland Guardians,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-140,1.4,2.4,1.0
J.Young o0.5 hits+runs+rbi,Rotowire,Washington Nationals,J.Young,New York Mets,0.0,0.6666666666666666,1,1.0,1,0.7,1,100,0.75,1.5,0.75
L.Raley o0.5 hits+runs+rbi,Rotowire,Seattle Mariners,L.Raley,New York Yankees,1.0,0.5737704918032787,1,0.8,1,0.8,1,100,0.75,1.5,0.75
B.Reynolds o1.5 hits+runs+rbi,Rotowire Prizepicks,Pittsburgh Pirates,B.Reynolds,St Louis Cardinals,0.0,0.5586206896551724,1,0.8,1,0.7,1,100,1.5,3.0,1.5
B.Miller u17.5 Outs,PropBetGuy,Seattle Mariners,B.Miller,New York Yankees,1.0,0.3571428571428571,0,0.4,0,0.3,0,-132,1.32,2.3200000000000003,1.0000000000000002
Z.Wheeler u18.5 Outs,cowhitchurch,Philadelphia Phillies,Z.Wheeler,Milwaukee Brewers,0.0,0.5862068965517241,1,0.8,1,0.7,1,-190,0.75,1.144736842105263,0.394736842105263
Z.Wheeler u18.5 Outs,SBK5065,Philadelphia Phillies,Z.Wheeler,Milwaukee Brewers,0.0,0.5862068965517241,1,0.8,1,0.7,1,-189,1.0,1.529100529100529,0.5291005291005291
T.Megill u16.5 Outs,SBK5065,New York Mets,T.Megill,Washington Nationals,1.0,0.75,1,0.6,1,0.7,1,-117,1.0,1.8547008547008548,0.8547008547008548
A.Vaughn o1.5 Hits + Runs + RBIs,MJCLocks,Chicago White Sox,A.Vaughn,Los Angeles Angels,0.0,0.5036496350364964,1,0.8,1,0.8,1,-115,1.15,2.1499999999999995,0.9999999999999996
G.Williams u6.5 Ks,MoneylineHacks,Cleveland Guardians,G.Williams,Minnesota Twins,1.0,0.7857142857142857,1,1.0,1,0.7,1,-125,1.0,1.8,0.8
B.Woo u5.5 Ks,PropBetGuy,Seattle Mariners,B.Woo,New York Yankees,1.0,0.631578947368421,1,0.6,1,0.5,0,-104,1.04,2.04,1.0
J.Ramirez u1.5 Total Bases,boomerslocks,Cleveland Guardians,J.Ramirez,Minnesota Twins,1.0,0.5306122448979592,1,0.4,0,0.6,1,-123,1.0,1.8130081300813008,0.8130081300813008
B.Williamson o4.5 strikeouts,Rotowire Prizepicks,Cincinnati Reds,B.Williamson,Atlanta Braves,1.0,1.0,1,1.0,1,1.0,1,100,1.5,3.0,1.5
Z.Matthews o3.5 strikeouts,Rotowire Prizepicks,Minnesota Twins,Z.Matthews,Cleveland Guardians,0.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1,100,1.5,3.0,1.5
G.Perdomo o1.5 hits+runs+rbi,Rotowire,Arizona Diamondbacks,G.Perdomo,Colorado Rockies,0.0,0.5529411764705883,1,0.6,1,0.5,0,100,0.75,1.5,0.75
M.Vientos o1.5 Hits + Runs + RBIs,PlayerPropSavant,New York Mets,M.Vientos,Washington Nationals,1.0,0.5353535353535354,1,0.4,0,0.3,0,-122,1.22,2.22,1.0000000000000002
B.Rooker o1.5 Total Bases,theprophunter0_,Oakland Athletics,B.Rooker,Chicago Cubs,0.0,0.5,0,0.8,1,0.6,1,110,1.0,2.1,1.1
T.Hernandez o1.5 Total Bases,theprophunter0_,Los Angeles Dodgers,T.Hernandez,Miami Marlins,0.0,0.425531914893617,0,0.8,1,0.5,0,115,1.0,2.15,1.15
C.Walker o1.5 Total Bases,theprophunter0_,Arizona Diamondbacks,C.Walker,Colorado Rockies,0.0,0.4017094017094017,0,0.6,1,0.5,0,-125,1.25,2.25,1.0
T.Megill u16.5 Outs,cowhitchurch,New York Mets,T.Megill,Washington Nationals,1.0,0.75,1,0.6,1,0.7,1,-124,0.5,0.9032258064516128,0.4032258064516129
D.Fletcher o0.5 hits+runs+rbi,Rotowire,Chicago White Sox,D.Fletcher,Los Angeles Angels,0.0,0.5084745762711864,1,0.6,1,0.5,0,100,0.75,1.5,0.75
C.Leblanc o0.5 hits+runs+rbi,Rotowire,Los Angeles Angels,C.Leblanc,Chicago White Sox,1.0,0.625,1,0.8,1,0.625,1,100,0.75,1.5,0.75
A.Judge o1.5 Hits + Runs + RBIs,FirefighterBets,New York Yankees,A.Judge,Seattle Mariners,0.0,0.5608108108108109,1,0.4,0,0.4,0,-120,1.0,1.8333333333333333,0.8333333333333335
A.Vaughn o1.5 Hits + Runs + RBIs,FirefighterBets,Chicago White Sox,A.Vaughn,Los Angeles Angels,0.0,0.5036496350364964,1,0.8,1,0.8,1,-115,1.0,1.869565217391304,0.8695652173913042
M.Machado o1.5 Hits + Runs + RBIs,FirefighterBets,San Diego Padres,M.Machado,Houston Astros,1.0,0.5285714285714286,1,0.6,1,0.6,1,-120,1.0,1.8333333333333333,0.8333333333333335
