Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
J.Polanco o0.5 total bases,Rotowire Prizepicks,Seattle Mariners,J.Polanco,Houston Astros,0.0,0.584070796460177,1,0.6,1,0.5,0,100.0,1.5,3.0,1.5
J.Crawford o0.5 hits+runs+rbi,Rotowire,Seattle Mariners,J.Crawford,Houston Astros,0.0,0.7142857142857143,1,0.8,1,0.6,1,100.0,0.75,1.5,0.75
J.Rodriguez o1.5 hits+runs+rbi,Rotowire Prizepicks,Seattle Mariners,J.Rodriguez,Houston Astros,0.0,0.5074626865671642,1,0.6,1,0.7,1,100.0,1.5,3.0,1.5
A.Nola o5.5 strikeouts,Rotowire,Philadelphia Phillies,A.Nola,Chicago Cubs,1.0,0.5161290322580645,1,0.8,1,0.4,0,100.0,0.75,1.5,0.75
A.Nola u18.5 Outs,SBK5065,Philadelphia Phillies,A.Nola,Chicago Cubs,1.0,0.6129032258064516,1,0.6,1,0.7,1,-204.0,1.25,1.862745098039216,0.6127450980392157
J.Duran o1.5 hits+runs+rbi,Rotowire,Boston Red Sox,J.Duran,Toronto Blue Jays,0.0,0.6209150326797386,1,0.8,1,0.6,1,100.0,0.75,1.5,0.75
N.Castellanos o1.5 hits+runs+rbi,Rotowire Prizepicks,Philadelphia Phillies,N.Castellanos,Chicago Cubs,1.0,0.5128205128205128,1,0.8,1,0.7,1,100.0,1.5,3.0,1.5
K.Schwarber o1.5 hits+runs+rbi,Rotowire Prizepicks,Philadelphia Phillies,K.Schwarber,Chicago Cubs,1.0,0.5347222222222222,1,0.6,1,0.6,1,100.0,1.5,3.0,1.5
A.Nola o1.5 earned runs,Rotowire,Philadelphia Phillies,A.Nola,Chicago Cubs,1.0,0.6774193548387096,1,0.6,1,0.7,1,100.0,0.75,1.5,0.75
J.Rojas o0.5 hits+runs+rbi,Rotowire,Philadelphia Phillies,J.Rojas,Chicago Cubs,1.0,0.6388888888888888,1,0.4,0,0.5,0,100.0,0.75,1.5,0.75
C.Bassitt o1.5 earned runs,Rotowire,Toronto Blue Jays,C.Bassitt,Boston Red Sox,1.0,0.6666666666666666,1,0.4,0,0.7,1,100.0,0.75,1.5,0.75
