Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
Y.Kikuchi u6.5 Ks,PropBetGuy,Houston Astros,Y.Kikuchi,Kansas City Royals,1.0,0.4,0,0.4,0,0.4,0,110,1.0,2.1,1.1
M.Vientos o1.5 Hits + Runs + RBIs,MJCLocks,New York Mets,M.Vientos,Chicago White Sox,0.0,0.5411764705882353,1,0.6,1,0.7,1,-125,1.25,2.25,1.0
G.Perdomo o0.5 hits+runs+rbi,Rotowire,Arizona Diamondbacks,G.Perdomo,Los Angeles Dodgers,1.0,0.7857142857142857,1,0.8,1,0.8,1,100,0.75,1.5,0.75
T.Casas o0.5 hits+runs+rbi,Rotowire,Boston Red Sox,T.Casas,Detroit Tigers,0.0,0.6944444444444444,1,0.6,1,0.7,1,100,0.75,1.5,0.75
C.Carroll o1.5 hits+runs+rbi,Rotowire Prizepicks,Arizona Diamondbacks,C.Carroll,Los Angeles Dodgers,1.0,0.5546875,1,0.8,1,0.7,1,100,1.5,3.0,1.5
W.Warren o4.5 hits allowed,Rotowire Prizepicks,New York Yankees,W.Warren,St Louis Cardinals,1.0,0.75,1,0.75,1,0.75,1,100,1.5,3.0,1.5
D.Kremer o15.5 outs,Rotowire,Baltimore Orioles,D.Kremer,Colorado Rockies,0.0,0.631578947368421,1,0.6,1,0.5,0,100,0.75,1.5,0.75
C.Ragans o5.5 strikeouts,Rotowire,Kansas City Royals,C.Ragans,Houston Astros,0.0,0.7407407407407407,1,0.8,1,0.8,1,100,0.75,1.5,0.75
S.Baz o15.5 Outs,SBK5065,Tampa Bay Rays,S.Baz,San Diego Padres,1.0,0.625,1,0.8,1,0.625,1,100,1.0,2.0,1.0
D.Herz u15.5 Outs,SBK5065,Washington Nationals,D.Herz,Chicago Cubs,1.0,0.7142857142857143,1,0.6,1,0.7,1,-170,1.0,1.5882352941176472,0.5882352941176472
A.Judge o1.5 Total Bases,theprophunter0_,New York Yankees,A.Judge,St Louis Cardinals,1.0,0.5263157894736842,1,0.4,0,0.6,1,-115,1.15,2.1499999999999995,0.9999999999999996
Y.Kikuchi u6.5 Ks,Markus_Markets,Houston Astros,Y.Kikuchi,Kansas City Royals,1.0,0.4,0,0.4,0,0.4,0,-105,1.0,1.9523809523809523,0.9523809523809524
E.Tovar o0.5 Runs Scored,MJCLocks,Colorado Rockies,E.Tovar,Baltimore Orioles,1.0,0.4274809160305343,0,0.6,1,0.5,0,100,1.0,2.0,1.0
S.Baz o4.5 Hits Allowed,Markus_Markets,Tampa Bay Rays,S.Baz,San Diego Padres,1.0,0.625,1,0.6,1,0.625,1,-137,1.0,1.72992700729927,0.7299270072992701
G.Mitchell o0.5 hits+runs+rbi,Rotowire,Milwaukee Brewers,G.Mitchell,Cincinnati Reds,0.0,0.7272727272727273,1,1.0,1,0.9,1,100,0.75,1.5,0.75
G.Stone o4.5 strikeouts,Rotowire Prizepicks,Los Angeles Dodgers,G.Stone,Arizona Diamondbacks,0.0,0.5416666666666666,1,0.8,1,0.5,0,100,1.5,3.0,1.5
J.Meyers o0.5 hits+runs+rbi,Rotowire,Houston Astros,J.Meyers,Kansas City Royals,1.0,0.6324786324786325,1,0.8,1,0.8,1,100,0.75,1.5,0.75
F.Lindor o1.5 total bases,Rotowire Prizepicks,New York Mets,F.Lindor,Chicago White Sox,0.0,0.4666666666666667,0,0.6,1,0.8,1,100,1.5,3.0,1.5
R.Urias o1.5 hits+runs+rbi,Rotowire,Baltimore Orioles,R.Urias,Colorado Rockies,0.0,0.3411764705882353,0,0.8,1,0.6,1,100,0.75,1.5,0.75
A.Rendon o0.5 hits+runs+rbi,Rotowire,Los Angeles Angels,A.Rendon,Seattle Mariners,1.0,0.68,1,0.6,1,0.6,1,100,0.75,1.5,0.75
M.Moniak o0.5 hits+runs+rbi,Rotowire,Los Angeles Angels,M.Moniak,Seattle Mariners,1.0,0.5904761904761905,1,0.6,1,0.7,1,100,0.75,1.5,0.75
R.Arozarena o1.5 hits+runs+rbi,Rotowire Prizepicks,Seattle Mariners,R.Arozarena,Los Angeles Angels,0.0,0.5517241379310345,1,0.8,1,0.6,1,100,1.5,3.0,1.5
M.Black u3.5 strikeouts,Rotowire,San Francisco Giants,M.Black,Miami Marlins,1.0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,100,0.75,1.5,0.75
B.Woo u5.5 strikeouts,Rotowire Prizepicks,Seattle Mariners,B.Woo,Los Angeles Angels,0.0,0.625,1,0.2,0,0.6,1,100,1.5,3.0,1.5
M.Garver o0.5 hits+runs+rbi,Rotowire,Seattle Mariners,M.Garver,Los Angeles Angels,0.0,0.49,0,0.2,0,0.4,0,100,0.75,1.5,0.75
